categoria,tamanio,tipo,precio,clasificacion,genero,v_android,calificacion
7,2.3,1,0.0,1,10,7,4.1
7,2.3,1,0.0,1,10,5,4.2
7,0.0,2,3.99,1,10,6,4.0
7,11.0,1,0.0,1,10,1,4.2
7,2.7,1,0.0,1,10,15,4.2
7,14.0,1,0.0,1,10,7,4.2
7,0.0,1,0.0,1,10,9,4.3
7,13.0,1,0.0,1,10,7,4.3
7,3.7,1,0.0,1,10,7,4.4
7,10.0,1,0.0,1,10,1,4.2
7,13.0,1,0.0,4,10,11,4.4
7,10.0,1,0.0,1,10,1,4.1
7,13.0,1,0.0,4,10,11,4.2
7,8.8,1,0.0,1,10,7,4.8
7,5.5,1,0.0,1,10,15,4.4
